row.id,abstract.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer,title,author,journal,volume,number,pages,year,doi,,,,,,
69,MA145,Interspecific,predator-prey,CM,Feeding repellence in Antarctic bryozoans,"Figuerola, B. and Nez-Pons, L. and Moles, J. and Avila, C.",Naturwissenschaften,100,11,1069-1081,2013,10.1007/s00114-013-1112-8,,,,,,
70,MA153,Interspecific,plant-animal,CM,Foraging strategy predicts foraging economy in a facultative secondary nectar robber,"Richman, Sarah K. and Irwin, Rebecca E. and Bronstein, Judith L.",OIKOS,126,9,1250-1257,2017,10.1111/oik.04229,,,,,,
95,MA206,Interspecific,plant-animal,CM,Insect seed predators and environmental change,"Lewis, Owen T. and Gripenberg, Sofia",JOURNAL OF APPLIED ECOLOGY,45,6,1593-1599,2008,10.1111/j.1365-2664.2008.01575.x,,,,,,
107,MA230,Interspecific,plant-animal,CM,Leaf domatia and mites on Australasian plants: ecological and evolutionary implications,"O'DOWD, D.J. and WILLSON, M.F.",Biological Journal of the Linnean Society,37,3,191-236,1989,10.1111/j.1095-8312.1989.tb01901.x,,,,,,
119,MA267,Interspecific,competition-cooperation,CM,Parabiotic associations between tropical ants: Equal partnership or parasitic exploitation?,"Menzel, F. and Blthgen, N.",Journal of Animal Ecology,79,1,71-81,2010,10.1111/j.1365-2656.2009.01628.x,,,,,,
157,MA353,Interspecific,competition-cooperation,CM,State-space modelling of the drivers of movement behaviour in sympatric species,"Prez-Barbera, F.J. and Small, M. and Hooper, R.J. and Aldezabal, A. and Soriguer-Escofet, R. and Bakken, G.S. and Gordon, I.J.",PLoS ONE,10,11,NA,2015,10.1371/journal.pone.0142707,,,,,,
18,MA36,Intraspecific,competition-cooperation,ET,Birth order affects behaviour in the investment game: firstborns are less trustful and reciprocate less,"Courtiol, Alexandre and Raymond, Michel and Faurie, Charlotte",ANIMAL BEHAVIOUR,78,6,1405-1411,2009,10.1016/j.anbehav.2009.09.016,,,,,,
20,MA39,Intraspecific,competition-cooperation,ET,"Capuchin monkeys (Sapajus {[}Cebus] apella) play Nash equilibria in dynamic games, but their decisions are likely not influenced by oxytocin","Smith, Mackenzie F. and Leverett, Kelly L. and Wilson, Bart J. and Brosnan, Sarah F.",AMERICAN JOURNAL OF PRIMATOLOGY,81,4,NA,2019,10.1002/ajp.22973,,,,,,
35,MA76,Intraspecific,competition-cooperation,ET,Cooperation and conflict in ant foundress associations: insights from geographical variation,"Cahan, SH",ANIMAL BEHAVIOUR,61,4,819-825,2001,10.1006/anbe.2000.1671,,,,,,
38,MA79,Intraspecific,competition-cooperation,ET,Cooperation in humans: competition between groups and proximate emotions,"Burton-Chellew, Maxwell N. and Ross-Gillespie, Adin and West, Stuart A.",EVOLUTION AND HUMAN BEHAVIOR,31,2,104-108,2010,10.1016/j.evolhumbehav.2009.07.005,,,,,,
49,MA105,Intraspecific,competition-cooperation,ET,Dominance hierarchies and associated signalling in a cooperative passerine,"Rat, M. and van Dijk, R.E. and Covas, R. and Doutrelant, C.",Behavioral Ecology and Sociobiology,69,3,437-448,2015,10.1007/s00265-014-1856-y,,,,,,
55,MA114,Intraspecific,competition-cooperation,ET,Effects of competitive and cooperative interaction among neighboring trees on tree growth in a naturally regenerated even-aged Larix sibirica stand in considering height stratification,"Mitsuda, Y. and Ito, S. and Takata, K.",Journal of Forest Research,7,4,185-191,2002,10.1007/BF02763131,,,,,,
67,MA140,Intraspecific,competition-cooperation,ET,"Facultative control of offspring sex in the cooperatively breeding bell miner, Manorina melanophrys","Ewen, J.G. and Crozier, R.H. and Cassey, P. and Ward-Smith, T. and Painter, J.N. and Robertson, R.J. and Jones, D.A. and Clarke, M.F.",Behavioral Ecology,14,2,157-164,2003,10.1093/beheco/14.2.157,,,,,,
71,MA156,Intraspecific,competition-cooperation,ET,Friend or foe: Inter-specific interactions and conflicts of interest within the family,"De Gasperin, O. and Kilner, R.M.",Ecological Entomology,40,6,787-795,2015,10.1111/een.12259,,,,,,
98,MA214,Intraspecific,competition-cooperation,ET,Intra- and interindividual differences in the costs and benefits of intergroup aggression in female vervet monkeys,"Arseneau-Robar, T. Jean M. and Taucher, Anouk L. and Schnider, Alessandra B. and van Schaik, Carel P. and Willems, Erik P.",ANIMAL BEHAVIOUR,123,NA,129-137,2017,10.1016/j.anbehav.2016.10.034,,,,,,
